golfer,age,avedrv,drvacc,grnreg,aveputt,savepct,mnyrnk,events,winnings,avewng
Adam Scott               ,24,295.4,57.7,65.6,1.757,59.3,7,16,3724984,232812
Tim Clark                ,28,278.8,72,65.8,1.764,53.3,71,26,1108190,42623
Kris Cox                 ,31,299.1,59,62,1.808,41.9,190,26,205171,7891
David Branshaw           ,35,285.8,66.6,66.2,1.796,43.2,169,30,293617,9787
Jonathan Kaye            ,34,290.9,64.7,66.5,1.803,42.2,34,25,1695333,67813
Zach Johnson             ,28,285.6,71.9,67.9,1.751,45.3,19,30,2417685,80590
Glen Day                 ,39,286.1,65.6,61.8,1.749,47.5,138,33,519935,15756
Bart Bryant              ,42,282.1,74.2,68.9,1.777,40.4,80,23,962167,41833
Jay Haas                 ,51,274.5,65.4,66.9,1.758,56.1,27,23,2071626,90071
Todd Fischer             ,35,280.1,61.7,63.9,1.769,46.7,94,33,847996,25697
Danny Briggs             ,44,283.8,65.5,68.1,1.792,45.6,157,28,397606,14200
Fred Couples             ,45,294.5,58.8,66.3,1.781,47.1,50,16,1396109,87257
Fred Funk                ,48,271.9,77.2,65.5,1.769,54.6,25,29,2103732,72542
Fredrik Jacobson         ,30,287.9,55.6,64.4,1.75,43.9,59,24,1259048,52460
Steve Pate               ,43,283.5,64.8,65.1,1.797,48.5,191,24,199569,8315
Rocco Mediate            ,41,283.4,69.9,65.5,1.8,45,176,19,257692,13563
Scott Hoch               ,49,280.4,68.8,68.6,1.786,50,60,17,1239360,72904
Mike Weir                ,34,282.1,64.1,65.1,1.749,53.7,14,22,2761537,125524
Arron Oberholser         ,29,284.6,68.8,67,1.78,50.9,52,23,1355433,58932
Jerry Kelly              ,38,278.1,70.4,68,1.763,52.8,17,29,2496223,86077
Hirofumi Miyase          ,33,279.7,70.6,60.4,1.823,43.9,199,27,162120,6004
Darren Clarke            ,36,289,62.3,64,1.745,46.2,28,16,2009819,125614
John Huston              ,43,286.4,65.9,68.8,1.804,55.9,90,20,874280,43714
Spike McRoy              ,36,281.5,67.1,64.9,1.81,45.8,159,33,374187,11339
Brenden Pappas           ,34,298.9,50.1,63,1.759,55.6,137,34,524907,15438
Stewart Cink             ,31,290.5,58.7,66.4,1.723,56.1,5,28,4450272,158938
Brian Gay                ,33,279.7,64.8,61.5,1.737,52.2,122,32,645196,20162
Tommy Armour III         ,45,290.5,62.4,64.3,1.807,43.6,95,28,844636,30166
Russ Cochran             ,46,280.3,65.4,63.6,1.791,45.7,194,25,185108,7404
Nick Price               ,47,272.8,68.3,59.1,1.746,58.7,103,15,796086,53072
Scott Simpson            ,49,278.7,70.7,62,1.8,51.2,192,18,190986,10610
J.J. Henry               ,29,301.3,64.5,66.6,1.788,41.7,93,30,848823,28294
Billy Andrade            ,40,283.5,59.7,64.4,1.773,50.5,124,31,631143,20359
Notah Begay III          ,32,285.8,69.5,66.2,1.771,44.2,129,23,583537,25371
Chris DiMarco            ,36,277.3,68.6,67.1,1.752,50.6,12,27,2971843,110068
Kenny Perry              ,44,295.9,62.5,68.6,1.776,45.8,30,23,1952043,84871
Todd Hamilton            ,39,283.5,58.7,62.7,1.774,44.6,11,27,3063780,113473
Joe Durant               ,40,287.2,75.1,73.3,1.798,41.7,81,26,952548,36636
Stephen Leaney           ,35,282.3,64.8,64.8,1.805,55.3,68,24,1166560,48607
Jason Dufner             ,27,290.7,62.5,65.3,1.79,52.5,164,28,317770,11349
D.J. Brigman             ,28,290.7,63.9,65.8,1.81,49.6,160,27,356943,13220
Dan Olsen                ,37,296,51.5,60.7,1.778,41.4,207,31,135731,4378
Carlos Franco            ,39,290.6,59.3,67.8,1.798,47.1,29,27,1955395,72422
Brian Kortan             ,33,292.4,63,62,1.844,52.1,200,24,159939,6664
Blaine McCalliste        ,46,280.9,63.4,63.6,1.808,42.3,198,27,162701,6026
Greg Chalmers            ,31,287.3,61.7,60.6,1.726,57.7,156,22,402380,18290
Gene Sauers              ,42,280.2,66.2,62,1.788,42.7,170,30,287150,9572
Justin Leonard           ,32,282.9,67.4,66.1,1.769,54,42,25,1531023,61241
Kevin Sutherland         ,40,286.1,67.1,63,1.799,53.7,85,27,928759,34398
Matt Kuchar              ,26,287.3,64.4,65.3,1.795,46.6,139,28,509258,18188
Kirk Triplett            ,42,279.1,72.1,67.7,1.752,49.3,38,24,1566426,65268
Aaron Baddeley           ,23,288,53.1,58.2,1.767,50.9,123,27,632878,23440
Pat Bates                ,35,275.5,69.9,66.3,1.803,45,168,32,299385,9356
Richard S. Johnso        ,28,283.4,69.3,64.5,1.758,50.8,148,32,461184,14412
